,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
787,2013.0,10,Eagles,0.0,0.5555555555555556,1.1111111111111112,Packers,307.55555555555554,25.666666666666668,8.444444444444445,DST,111.77777777777777,2.111111111111111,0.1111111111111111,419.3333333333333,0.1111111111111111,0.5555555555555556
812,2013.0,11,Eagles,0.0,0.5,1.2,Redskins,306.5,24.4,8.8,DST,110.5,2.0,0.1,417.0,0.1,0.6
871,2013.0,13,Eagles,0.0,0.5454545454545454,1.1818181818181819,Cardinals,300.09090909090907,23.636363636363637,9.090909090909092,DST,117.81818181818181,2.1818181818181817,0.09090909090909091,417.90909090909093,0.09090909090909091,0.5454545454545454
903,2013.0,14,Eagles,0.0,0.5833333333333334,1.25,Lions,296.75,23.416666666666668,9.333333333333334,DST,115.5,2.4166666666666665,0.08333333333333333,412.25,0.08333333333333333,0.5
950,2013.0,15,Eagles,0.07692307692307693,0.7692307692307693,1.1538461538461537,Min,285.53846153846155,23.153846153846153,9.538461538461538,DST,112.76923076923077,2.230769230769231,0.07692307692307693,398.3076923076923,0.07692307692307693,0.46153846153846156
961,2013.0,16,Eagles,0.07142857142857142,0.7142857142857143,1.1428571428571428,Bears,291.57142857142856,24.928571428571427,9.214285714285714,DST,110.78571428571429,2.2857142857142856,0.07142857142857142,402.35714285714283,0.07142857142857142,0.5
1013,2013.0,17,Eagles,0.06666666666666667,0.7333333333333333,1.1333333333333333,Cowboys,285.2,24.0,10.2,DST,107.46666666666667,2.466666666666667,0.13333333333333333,392.6666666666667,0.13333333333333333,0.4666666666666667
1027,2014.0,1,Eagles,1.0,1.0,0.0,Jaguars,242.0,17.0,17.0,DST,64.0,3.0,0.0,306.0,1.0,0.0
1075,2014.0,2,Eagles,1.0,1.0,0.0,Colts,242.0,17.0,17.0,DST,64.0,3.0,0.0,306.0,1.0,0.0
1106,2014.0,3,Eagles,0.5,1.0,0.5,Redskins,207.0,22.0,11.0,DST,116.5,1.5,0.0,323.5,0.5,0.5
1120,2014.0,4,Eagles,0.3333333333333333,0.6666666666666666,0.6666666666666666,49ers,280.3333333333333,26.0,10.0,DST,105.66666666666667,1.0,0.0,386.0,0.6666666666666666,0.3333333333333333
1147,2014.0,5,Eagles,0.5,0.5,0.75,Rams,257.5,26.0,14.25,DST,133.75,1.75,0.0,391.25,1.25,0.5
1178,2014.0,6,Eagles,0.6,1.0,0.6,Giants,274.2,26.4,16.2,DST,132.0,2.2,0.0,406.2,1.4,0.4
1262,2014.0,8,Eagles,0.5,1.0,0.5,Cardinals,256.5,22.0,16.833333333333332,DST,124.33333333333333,3.1666666666666665,0.0,380.8333333333333,1.1666666666666667,0.3333333333333333
1284,2014.0,9,Eagles,0.42857142857142855,1.0,0.42857142857142855,Texans,266.85714285714283,22.285714285714285,14.857142857142858,DST,116.71428571428571,2.7142857142857144,0.0,383.57142857142856,1.0,0.42857142857142855
1292,2014.0,10,Eagles,0.375,0.875,0.5,Panthers,256.25,22.125,13.875,DST,116.875,2.875,0.0,373.125,0.875,0.5
