,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
184,0,2,1,Stl,254,15,20.00,DST,63,4.0,0,Carolina PanthersCarolina,317,1,7,2013
185,0,0,3,@Phi,194,3,19.00,DST,84,3.0,0,Dallas CowboysDallas,278,0,7,2013
186,0,0,1,@Jax,275,6,18.00,DST,78,6.0,0,San Diego ChargersSan Diego,353,0,7,2013
187,0,1,1,@Ten,298,17,17.00,DST,70,3.0,0,San Francisco 49ersSan Francisco,368,1,7,2013
188,0,1,2,@Mia,173,21,15.00,DST,120,2.0,0,Buffalo BillsBuffalo,293,1,7,2013
189,0,2,1,Min,176,7,14.00,DST,30,1.0,0,New York GiantsNY Giants,206,0,7,2013
190,0,0,1,NE,205,27,13.00,DST,90,4.0,0,New York JetsNY Jets,295,1,7,2013
191,0,1,0,TB,226,23,12.00,DST,111,3.0,0,Atlanta FalconsAtlanta,337,1,7,2013
192,0,0,1,Cle,133,13,12.00,DST,83,3.0,0,Green Bay PackersGreen Bay,216,0,7,2013
193,0,2,1,Den,365,33,12.00,DST,64,4.0,1,Indianapolis ColtsIndianapolis,429,0,7,2013
194,0,0,1,@NYJ,206,30,12.00,DST,177,4.0,0,New England PatriotsNew England,383,1,7,2013
195,0,0,2,@Ari,204,22,12.00,DST,30,7.0,0,Seattle SeahawksSeattle,234,0,7,2013
196,0,1,0,Hou,221,16,11.00,DST,73,5.0,0,Kansas City ChiefsKansas City,294,0,7,2013
197,0,1,0,@NYG,193,23,11.00,DST,64,2.0,0,Minnesota VikingsMinnesota,257,1,7,2013
198,0,1,1,@KC,231,17,10.00,DST,126,2.0,0,Houston TexansHouston,357,0,7,2013
199,0,0,2,Dal,294,17,10.00,DST,74,2.0,0,Philadelphia EaglesPhiladelphia,368,0,7,2013
200,0,0,1,Chi,219,41,10.00,DST,140,2.0,0,Washington RedskinsWashington,359,1,7,2013
201,0,1,0,@Pit,145,19,9.00,DST,141,3.0,0,Baltimore RavensBaltimore,286,0,7,2013
202,0,0,1,@Was,290,45,9.00,DST,209,1.0,0,Chicago BearsChicago,499,1,7,2013
203,0,2,0,Sea,209,34,7.00,DST,135,3.0,0,Arizona CardinalsArizona,344,0,7,2013
204,0,0,1,Buf,178,23,7.00,DST,90,4.0,0,Miami DolphinsMiami,268,0,7,2013
205,0,0,0,Bal,205,16,5.00,DST,82,1.0,0,Pittsburgh SteelersPittsburgh,287,0,7,2013
206,0,1,0,@Ind,213,39,4.00,DST,121,2.0,0,Denver BroncosDenver,334,0,7,2013
207,0,0,0,@Car,180,30,4.00,DST,102,2.0,1,St. Louis RamsSt. Louis,282,0,7,2013
208,1,0,0,@Det,357,24,3.00,DST,77,0.0,0,Cincinnati BengalsCincinnati,434,0,7,2013
209,0,0,0,Cin,364,27,2.00,DST,57,1.0,0,Detroit LionsDetroit,421,0,7,2013
210,0,0,0,SD,276,24,2.00,DST,158,1.0,0,Jacksonville JaguarsJacksonville,434,0,7,2013
211,0,1,0,@Atl,273,31,2.00,DST,18,0.0,0,Tampa Bay BuccaneersTampa Bay,291,0,7,2013
212,0,0,0,SF,196,31,2.00,DST,153,2.0,0,Tennessee TitansTennessee,349,0,7,2013
213,0,0,0,@GB,253,31,1.00,DST,104,1.0,0,Cleveland BrownsCleveland,357,0,7,2013
214,0,0,2,NYJ,147,9,27.00,DST,93,4.0,0,Cincinnati BengalsCincinnati,240,2,8,2013
215,0,1,4,Was,154,21,20.00,DST,112,3.0,0,Denver BroncosDenver,266,1,8,2013
216,0,0,4,Atl,265,13,19.00,DST,27,4.0,0,Arizona CardinalsArizona,292,0,8,2013
217,1,1,2,Mia,145,17,18.00,DST,156,6.0,0,New England PatriotsNew England,301,0,8,2013
218,0,1,2,@Phi,152,7,17.00,DST,48,4.0,0,New York GiantsNY Giants,200,0,8,2013
219,0,1,3,@Den,339,45,16.00,DST,107,2.0,0,Washington RedskinsWashington,446,1,8,2013
220,0,1,0,@Jax,228,10,15.00,DST,90,0.0,0,San Francisco 49ersSan Francisco,318,1,8,2013
221,0,2,1,Buf,211,17,14.00,DST,88,4.0,0,New Orleans SaintsNew Orleans,299,0,8,2013
222,0,0,2,@Stl,139,9,14.00,DST,200,3.0,0,Seattle SeahawksSeattle,339,0,8,2013
223,0,0,2,Pit,241,18,13.00,DST,35,5.0,0,Oakland RaidersOakland,276,0,8,2013
224,0,1,0,NYG,237,15,13.00,DST,88,1.0,0,Philadelphia EaglesPhiladelphia,325,1,8,2013
225,0,1,0,@TB,249,13,12.00,DST,48,3.0,0,Carolina PanthersCarolina,297,0,8,2013
226,0,0,0,Sea,91,14,11.00,DST,44,7.0,0,St. Louis RamsSt. Louis,135,0,8,2013
227,0,2,2,@Det,480,31,9.00,DST,143,1.0,0,Dallas CowboysDallas,623,0,8,2013
228,0,0,0,@Min,132,31,9.00,DST,111,3.0,0,Green Bay PackersGreen Bay,243,1,8,2013
229,0,1,2,@Oak,82,21,9.00,DST,197,2.0,0,Pittsburgh SteelersPittsburgh,279,0,8,2013
230,0,0,0,GB,282,44,8.00,DST,182,2.0,0,Minnesota VikingsMinnesota,464,1,8,2013
231,0,0,0,@KC,195,23,7.00,DST,136,6.0,0,Cleveland BrownsCleveland,331,0,8,2013
232,0,1,0,Cle,283,17,7.00,DST,57,1.0,0,Kansas City ChiefsKansas City,340,0,8,2013
233,0,0,1,@Ari,147,27,6.00,DST,201,3.0,0,Atlanta FalconsAtlanta,348,0,8,2013
234,0,0,1,@NE,100,27,6.00,DST,152,3.0,0,Miami DolphinsMiami,252,0,8,2013
235,0,0,0,@NO,309,35,4.00,DST,77,4.0,0,Buffalo BillsBuffalo,386,0,8,2013
236,0,0,1,@Cin,323,49,3.00,DST,79,1.0,0,New York JetsNY Jets,402,0,8,2013
237,0,0,0,Car,195,31,3.00,DST,129,3.0,0,Tampa Bay BuccaneersTampa Bay,324,0,8,2013
238,0,1,0,SF,177,42,2.00,DST,221,0.0,0,Jacksonville JaguarsJacksonville,398,0,8,2013
239,0,0,0,Dal,206,30,0.00,DST,62,0.0,0,Detroit LionsDetroit,268,0,8,2013
240,0,1,2,@Buf,229,13,25.00,DST,241,0.0,0,Kansas City ChiefsKansas City,470,2,9,2013
241,0,1,3,Cin,302,20,25.00,DST,163,5.0,1,Miami DolphinsMiami,465,1,9,2013
242,0,1,3,Atl,211,10,22.00,DST,78,1.0,0,Carolina PanthersCarolina,289,1,9,2013
243,0,1,1,Bal,223,18,13.00,DST,55,5.0,0,Cleveland BrownsCleveland,278,0,9,2013
244,0,1,1,Min,224,23,13.00,DST,169,2.0,0,Dallas CowboysDallas,393,1,9,2013
245,2,0,1,@Was,291,30,12.00,DST,209,0.0,0,San Diego ChargersSan Diego,500,1,9,2013
246,0,0,1,@GB,113,20,11.00,DST,199,5.0,0,Chicago BearsChicago,312,0,9,2013
247,0,1,2,Pit,371,31,11.00,DST,108,5.0,0,New England PatriotsNew England,479,0,9,2013
248,0,0,2,@Oak,350,20,11.00,DST,210,3.0,0,Philadelphia EaglesPhiladelphia,560,0,9,2013
