Year,Week,Name,50+,FGA,FGM,Opponent,Points,Position,XPA,XPM,Away Games
2013,12,David Akers,0,0,0,Buccaneers,3.0,K,3,3,0
2013,13,Adam Vinatieri,0,5,5,Titans,16.0,K,1,1,0
2013,13,Justin Tucker,0,5,5,Steelers,16.0,K,1,1,0
2013,13,Stephen Gostkowski,2,3,2,Texans,14.0,K,4,4,1
2013,13,Josh Scobee,0,3,3,Browns,12.0,K,3,3,1
2013,13,Blair Walsh,0,4,3,Bears,11.0,K,2,2,0
2013,13,Caleb Sturgis,0,4,3,Jets,11.0,K,2,2,1
2013,13,Phil Dawson,0,3,3,Rams,11.0,K,2,2,0
2013,13,Stephen Hauschka,0,2,2,Saints,10.0,K,4,4,0
2013,13,Matt Bryant,0,2,2,Bills,10.0,K,4,4,1
2013,13,Graham Gano,0,2,2,Buccaneers,9.0,K,3,3,0
2013,13,Rian Lindell,1,3,2,Panthers,8.0,K,0,0,1
2013,13,Robbie Gould,0,4,2,Min,8.0,K,2,2,1
2013,13,David Akers,0,2,1,Packers,8.0,K,5,5,0
2013,13,Greg Zuerlein,0,2,2,49ers,7.0,K,1,1,1
2013,13,Dan Carpenter,0,1,1,Falcons,7.0,K,4,4,0
2013,13,Randy Bullock,0,1,1,Patriots,7.0,K,4,4,0
2013,13,Dan Bailey,0,1,1,Raiders,7.0,K,4,4,0
2013,13,Sebastian Janikowski,0,1,1,Cowboys,6.0,K,3,3,1
2013,13,Alex Henery,0,1,1,Cardinals,6.0,K,3,3,0
2013,13,Mason Crosby,1,1,1,Lions,6.0,K,1,1,1
2013,13,Josh Brown,0,1,1,Redskins,6.0,K,3,3,1
2013,13,Matt Prater,0,0,0,Chiefs,5.0,K,5,5,1
2013,13,Mike Nugent,0,1,1,Chargers,5.0,K,2,2,1
